,RA,DEC,incl,q,f,a,relative_area,parallax,parallax_error,distance,distance_error_upper,distance_error_lower,angular_diameter,surface_brightness,ASAS_V_max_mag,ASAS_V_max_mag_error,Kmag,Kmag_error,ebv
55,354.2306929,15.80177667,88.0,0.256,61.0,4.02,1.21530986,3.6867,0.0196,269.10788,270.618774,267.652313,0.06946982893651377,3.855698700856503,9.435,0.1199,8.317,0.026,0.06705664
56,75.29513667,34.50737639,82.0,0.144,29.0,2.44,1.188748223,5.8191,0.0211,171.090347,171.756485,170.46405,0.06632250337739783,4.288029254466302,9.992,0.0202,8.357,0.029,0.86599416
57,293.8504979,5.838239167,82.0,0.362,24.0,2.7,1.082235022,4.7372,0.0154,209.745575,210.480316,209.220566,0.05986425031659347,4.4166417007575145,10.445,0.0178,9.497,0.023,0.2828928
58,250.33692,0.507606667,71.0,0.335,24.0,3.12,1.093206878,10.3744,0.0209,96.0610886,96.237999,95.887352,0.1510440706602812,4.836274295635273,8.844,0.0703,6.997,0.023,0.1084185
59,269.7025742,13.49618972,84.0,0.53,15.0,2.36,1.027523202,6.3729,0.0172,156.329971,156.652084,155.828384,0.07020472572000089,4.571310827923821,10.31,0.0735,8.568,0.02,0.14123154
60,175.7003387,-35.81597361,82.0,0.311,6.0,2.59,1.035522752,8.0291,0.0161,124.156372,124.43071,123.8125,0.0970124208034364,4.173035823131129,9.201,0.0654,7.689,0.021,0.10276068
61,241.5092183,50.18697333,78.0,0.26,25.0,2.88,1.1144192,5.8333,0.0142,170.885483,171.22316,170.580933,0.07837614685836722,4.596541008563854,10.008,0.0677,8.428,0.015,0.021447107
62,252.3801671,47.10800167,68.0,0.226,23.0,5.29,1.131613601,2.5971,0.011,383.121185,384.625549,381.768097,0.06421198506809225,3.72732587678834,9.555,0.2264,8.83,0.012,0.029915446
63,214.3584683,12.56762389,74.0,0.428,11.0,2.38,1.027144832,6.6644,0.0168,149.340897,149.738678,148.924622,0.07411306817776736,4.916553177559495,10.538,0.0576,8.688,0.02,0.02044792
64,145.93946,55.95251694,83.0,0.484,32.0,2.41,1.097913893,19.2667,0.0189,51.8314438,51.8775101,51.7808495,0.21623218026040783,4.957022338251966,8.181,0.1674,6.184,0.017,0.012416201
65,207.2981942,20.19016389,69.0,0.16,56.0,2.23,1.24789756,4.1808,0.0216,237.041687,238.277451,235.56218,0.04374986578603624,3.9013309641131957,10.456,0.0627,9.199,0.017,0.02333718
66,150.6424829,17.04642778,78.0,0.348,24.0,3.47,1.08653419,2.7968,0.0221,353.346466,356.046051,350.313477,0.0456694008524163,3.6142350622345916,10.226,0.1112,9.545,0.018,0.029287387
